INDEX	DATE	SPOT	FUTURES	RETSPOT	RETFUTURES
16      90.04270    29584.80000    30025.00000        0.54303        0.23341
17      90.05020    30173.64000    30545.00000        1.97080        1.71706
17      90.05070    30956.27000    31285.00000        2.56069        2.39377
17      90.05080    30970.58000    31240.00000        0.04622       -0.14394
17      90.05090    30945.61000    31240.00000       -0.08066        0.00000
17      90.05100    30980.26000    31330.00000        0.11191        0.28768
17      90.05110    31512.14000    32150.00000        1.70226        2.58363
17      90.05140    32042.65000    32280.00000        1.66950        0.40354
17      90.05150    31997.04000    32260.00000       -0.14244       -0.06198
17      90.05160    31967.62000    32270.00000       -0.09199        0.03099
17      90.05170    32061.60000    32425.00000        0.29355        0.47917
17      90.05180    32013.72000    32360.00000       -0.14945       -0.20066
17      90.05210    31765.05000    32000.00000       -0.77979       -1.11872
17      90.05220    31938.30000    32390.00000        0.54393        1.21138
17      90.05230    32176.51000    32505.00000        0.74308        0.35442
17      90.05240    32311.75000    32740.00000        0.41943        0.72036
17      90.05250    32793.88000    33175.00000        1.48110        1.31990
17      90.05280    33191.61000    33635.00000        1.20552        1.37706
17      90.05290    32817.67000    32805.00000       -1.13300       -2.49862
17      90.05300    32926.26000    33225.00000        0.33034        1.27217
17      90.05310    33130.80000    33115.00000        0.61928       -0.33163
18      90.06010    32891.12000    32955.00000       -0.72607       -0.48434
18      90.06040    32925.37000    33200.00000        0.10408        0.74069
18      90.06050    32921.62000    33160.00000       -0.01139       -0.12055
18      90.06060    32953.50000    33260.00000        0.09679        0.30111
18      90.06070    33192.50000    33375.00000        0.72265        0.34516
18      90.06080    32993.29000    33135.00000       -0.60197       -0.72170
18      90.06110    32540.18000    32420.00000       -1.38286       -2.18146
18      90.06120    32322.31000    33080.00000       -0.67179        0.07560
18      90.06130    32371.77000    33265.00000        0.15290        0.55769
18      90.06140    32668.11000    33555.00000        0.91126        0.86801
18      90.06150    32538.40000    33395.00000       -0.39784       -0.47797
18      90.06180    32376.80000    33055.00000       -0.49788       -1.02333
18      90.06190    32040.38000    32695.00000       -1.04451       -1.09507
18      90.06200    32087.76000    32960.00000        0.14777        0.80725
18      90.06210    32087.27000    32705.00000       -0.00153       -0.77667
18      90.06220    31694.57000    32380.00000       -1.23140       -0.99870
18      90.06250    31124.19000    31785.00000       -1.81600       -1.85465
18      90.06260    31571.77000    32395.00000        1.42780        1.90096
18      90.06270    32312.75000    32770.00000        2.31985        1.15094
18      90.06280    32106.19000    32865.00000       -0.64130        0.28948
18      90.06290    31940.24000    32315.00000       -0.51822       -1.68767
19      90.07020    32160.23000    32830.00000        0.68639        1.58112
19      90.07030    32414.60000    32830.00000        0.78783        0.00000
19      90.07040    32445.92000    33085.00000        0.09658        0.77373
19      90.07050    32351.67000    33065.00000       -0.29091       -0.06047
19      90.07060    32445.12000    33230.00000        0.28844        0.49778
19      90.07090    32538.28000    33215.00000        0.28672       -0.04515
19      90.07100    32152.43000    32840.00000       -1.19292       -1.13543
19      90.07110    32294.18000    33060.00000        0.43990        0.66768
19      90.07120    32575.32000    33020.00000        0.86679       -0.12107
19      90.07130    32644.37000    33180.00000        0.21175        0.48338
19      90.07160    33021.73000    33635.00000        1.14934        1.36199
19      90.07170    33172.28000    33695.00000        0.45488        0.17823
19      90.07180    33048.11000    33560.00000       -0.37502       -0.40146
19      90.07190    33055.62000    33320.00000        0.02272       -0.71771
